UniqueCount	AmbigCount
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
1	0
1	0
1	0
0	0
0	0
0	0
11	33
46	46
0	43
76	43
0	0
7163	0
200	905
8	905
5	8
0	6
10	6
0	0
19	0
16	0
0	0
0	0
0	0
0	0
25	0
0	0
1237	5
0	0
0	0
1	0
0	0
0	0
1	0
326	74
0	97
0	97
10	0
257	0
4	0
0	0
1	0
75	0
596	0
0	0
2	0
16	3
0	0
1	0
0	0
2149	0
0	0
2439	0
2	0
1	0
0	69
30	69
16	67
215	23
1	0
0	0
7	0
0	0
0	0
4	0
1	0
0	0
0	0
0	1
0	0
8	1
0	0
0	0
0	0
1	3
0	0
0	0
0	0
3	22
0	22
0	0
1	0
0	0
0	0
0	0
0	0
30	2
0	0
1758	0
0	0
7	0
0	0
102	66
5	66
23136	0
4534	5850
548	5850
817	0
1	0
3649	0
23074	0
6540	0
906	0
3	0
0	70764
0	87737
0	88545
59655	88509
7593	0
1286	0
27	0
3055	0
2804	0
5	0
2009	0
0	0
18745	0
425	0
1030	0
35	394
34	394
540	0
0	0
0	0
0	0
0	0
0	0
0	0
0	21
0	0
8	21
0	0
0	0
61	0
0	0
8	0
1	0
2	4
3	4
1	0
6	0
0	0
21267	0
0	0
0	0
20	967
0	997
12	972
0	942
0	0
0	0
20	0
0	0
0	0
0	0
1174	0
4	0
12	0
10	0
0	0
0	0
2	1
0	1
34	5
0	3
3	3
13	0
0	0
0	0
0	0
0	0
39	0
0	0
0	13
4	0
0	0
0	0
0	0
0	0
0	0
0	0
9	0
0	0
0	0
0	0
0	0
0	0
1138	0
1859	0
26	0
0	0
3	0
0	0
11	0
0	0
0	0
0	0
762	0
3	0
0	0
2622	0
0	0
1	1
0	0
0	0
2310	0
75	47
113	6
1	0
4335	0
0	0
0	0
0	0
0	0
549	0
0	0
0	0
3	0
156	0
21	66
18	66
0	0
7	3
1	3
0	0
0	0
1	0
0	0
0	0
0	0
11	9
3	8
0	0
505	0
0	0
