UniqueCount	AmbigCount
2911	0
2834	0
58	22
19	0
2239	0
743	0
510	0
514	0
26226	0
3864	0
996	36
1329	0
1481	0
2545	0
2813	0
1215	0
2448	0
149	0
121	0
546	0
533	3
425	3
60	442
194	1636
1830	1645
126	1599
1745	2740
58998	0
1017	0
408	0
1960	0
49	2227
45	2227
209	0
1073	0
854	0
11501	0
749	524
26941	0
660	0
10698	0
699	0
1852	0
1353	226
2744	0
119	0
1602	0
1676	0
1262	43
1492	0
0	2615
554	321
640	0
274	0
2548	0
428	0
598	0
174	0
703	625
975	625
2707	0
4223	77
53	0
2668	0
691	0
564	0
9548	0
1003	0
651	0
1120	0
160	0
1498	0
72	135
15	0
49	0
1042	1323
1490	127
912	443
1165	0
5190	0
2311	168
1474	168
975	1997
429	0
8373	0
89	411
10	408
624	0
119	27
50	426
32	426
17940	0
45	62
303	0
43917	0
1787	0
4324	0
2373	0
321	1
178	0
9	0
819	13
1857	13
749	575
13266	0
14	2
295	0
1144	23
316	0
83	0
2346	190
773	0
148	0
36	111
148	9397
453	0
966	0
7981	0
301	0
230	0
180	0
380	460
649	472
0	472
4875	0
776	0
453	161
2321	161
419	0
19	88
38	3
133	15
9	0
1850	0
314	3375
2141	3585
636	0
641	0
36	0
174	8658
444	8658
1495	0
166	0
108	0
1375	0
1349	0
1968	2043
1367	1857
420	1881
315	19
521	41
3461	0
412	6
2007	0
21182	8521
1181	0
111	0
277	0
1163	0
2323	0
758	1115
11627	0
137	7565
5	7565
1541	0
793	0
261	0
13805	0
2319	0
143	1417
1823	0
1513	0
833	57
14736	56
2016	8624
3768	157
61	5
90	5
377	151
460	799
1203	191
74	250
285	50
2341	0
12	0
3	659
4504	0
1327	106
449	106
780	0
674	0
1321	0
5632	0
384	0
1340	0
45	1035
381	5
1042	6562
1371	150
1984	919
547	0
799	0
686	0
1168	0
4366	0
1469	0
432	0
1302	0
1117	125
325	0
356	46
1892	34
3371	8
8	109
15	42
1557	0
447	0
442	6
29	238
6112	971
2941	798
284	315
2797	1770
1858	1984
2104	3661
139	2
1783	0
1612	0
62	22
20630	0
1185	0
730	0
1986	0
1114	0
1628	0
236	0
37170	0
321	0
3101	0
6122	0
400	0
585	2222
27347	0
2210	0
1	0
4045	0
92	1
2014	0
161	0
281	0
375	145
358	52
415	0
58	0
115	660
7	660
135	0
35	0
138	0
1801	143
349	143
154	1
76	0
68	29
342	0
2521	0
0	0
553	0
820	158
2437	0
15997	287
18145	0
868	4
1028	0
80	283
72	0
675	0
84	0
617	6
46	12
35	12
134	7
14	14
90	14
286	0
607	0
3540	0
3605	0
778	150
308	0
1755	0
419	0
59	2
310	0
3284	0
521	0
1053	9
3	75
537	75
1677	0
220	0
929	27
321	297
132	291
1154	40
37	319
214	0
751	0
242	0
62	0
1529	0
70	0
381	4
100	4
527	0
0	442
2	363
2388	134
1828	77
72	0
594	108
938	170
0	1915
0	1487
4809	0
1629	0
440	0
159	0
2571	0
85	0
117	0
35	0
2273	0
366	31
268	0
3073	0
1058	105
242	15
1697	0
2959	0
3	2
8	2
40	0
141	25
79	2
1109	2
1001	26
239	0
143	0
391	1253
2077	1237
186	1343
208	0
7331	0
510	0
45	0
20578	0
1255	0
70	0
3568	185
1309	185
287	39
463	0
1341	38
130	0
1052	12
270	0
16	0
15098	0
909	335
1887	335
30	0
923	0
23	428
695	393
12	374
264	379
356	0
811	111
1309	377
11	331
16	313
24	0
463	0
232	0
302	0
17	0
1156	314
201	314
222	23
389	23
9	0
25	226
12	226
359	0
258	0
384	443
0	655
866	4
984	4
577	78
19	78
1144	87
15	0
138	0
28	0
3589	0
864	827
218	819
158	0
1429	117
94	70
245	81
30	0
1245	0
57	0
133	0
486	0
8741	0
0	246
0	246
4	0
933	0
57	0
277	0
334	0
17	0
6	2607
838	251
27	214
9	0
37	1193
184	1193
10	0
18	0
1111	54
1343	24
57	0
359	0
71	0
635	0
985	282
23	0
1047	0
500	0
1471	0
749	70
3460	0
320	0
1640	0
541	0
627	0
831	0
8315	2
158	0
1157	0
467	0
205	0
134	0
439	0
491	1937
2533	1143
402	1153
11	0
73	82
3	82
69	641
189	641
38	0
27469	0
4	0
446	16
64	0
27	0
4238	16
317	0
766	0
13960	0
7816	0
10	11
7	11
1083	0
1564	0
470	0
1139	0
3151	0
255	0
878	0
358	0
35	0
3865	0
5172	0
44	0
610	0
1498	0
171	0
6	0
259	0
692	0
305	0
444	0
658	0
2580	207
352	207
175	382
12	382
7095	0
203	0
3270	0
122	141
6120	0
324	0
88	0
2157	369
840	0
12793	0
658	0
1765	0
1900	0
527	0
106	12
938	2
73	0
216	515
55	444
52	0
12	17
67	17
10886	0
326	0
137	0
297	25
15	77
