cds	logFC	adj.P.Val	focus_term	sseqid	evalue	pident	ppos	salltitles
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104134_c0_g1_i1:490-879(+)	2.4928629655644	0.00289425386641714	S_cType	gb|ABK21981.1|	3.84e-42	50.318	64.33	unknown [Picea sitchensis]<>unknown [Picea sitchensis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104134_c0_g1_i1:490-879(+)	2.4928629655644	0.00289425386641714	S_cType	gb|ABR17371.1|	1.91e-26	72.222	83.33	unknown [Picea sitchensis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104134_c0_g1_i1:490-879(+)	2.4928629655644	0.00289425386641714	S_cType	gb|ONI32606.1|	1.49e-19	42.308	56.92	hypothetical protein PRUPE_1G375500 [Prunus persica]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104134_c0_g1_i1:490-879(+)	2.4928629655644	0.00289425386641714	S_cType	ref|XP_028962452.1|	4.49e-19	40.769	56.92	heavy metal-associated isoprenylated plant protein 43-like isoform X2 [Malus domestica]<>heavy metal-associated isoprenylated plant protein 43-like isoform X2 [Malus domestica]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104134_c0_g1_i1:490-879(+)	2.4928629655644	0.00289425386641714	S_cType	ref|XP_021726840.1|	5.84e-19	37.5	58.09	heavy metal-associated isoprenylated plant protein 39-like [Chenopodium quinoa]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104134_c0_g1_i1:490-879(+)	2.4928629655644	0.00289425386641714	S_cType	emb|CAA3032794.1|	6.79e-19	39.706	58.09	heavy metal-associated isoprenylated plant 3-like isoform X1 [Olea europaea subsp. europaea]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104134_c0_g1_i1:490-879(+)	2.4928629655644	0.00289425386641714	S_cType	ref|XP_022852056.1|	7.09e-19	39.706	58.09	heavy metal-associated isoprenylated plant protein 39-like [Olea europaea var. sylvestris]<>heavy metal-associated isoprenylated plant 3-like isoform X1 [Olea europaea subsp. europaea]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104134_c0_g1_i1:490-879(+)	2.4928629655644	0.00289425386641714	S_cType	ref|XP_026378948.1|	9.6e-19	41.27	60.32	heavy metal-associated isoprenylated plant protein 12-like [Papaver somniferum]<>hypothetical protein C5167_004427 [Papaver somniferum]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104134_c0_g1_i1:490-879(+)	2.4928629655644	0.00289425386641714	S_cType	gb|KAB2628144.1|	1.2e-18	40	56.92	inositol-pentakisphosphate 2-kinase-like [Pyrus ussuriensis x Pyrus communis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104134_c0_g1_i1:490-879(+)	2.4928629655644	0.00289425386641714	S_cType	ref|XP_026393585.1|	2.33e-18	42.969	59.38	heavy metal-associated isoprenylated plant protein 2-like [Papaver somniferum]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104185_c0_g1_i2:385-2772(+)	2.05047086842074	0.036508120858005	S_cType	ref|XP_031498374.1|	0	74.895	85.22	isoamylase 3, chloroplastic isoform X2 [Nymphaea colorata]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104185_c0_g1_i2:385-2772(+)	2.05047086842074	0.036508120858005	S_cType	gb|OUZ99592.1|	0	72.552	85.93	Glycoside hydrolase [Macleaya cordata]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104185_c0_g1_i2:385-2772(+)	2.05047086842074	0.036508120858005	S_cType	ref|XP_006827924.2|	0	72.514	85.08	isoamylase 3, chloroplastic isoform X1 [Amborella trichopoda]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104185_c0_g1_i2:385-2772(+)	2.05047086842074	0.036508120858005	S_cType	ref|XP_031498373.1|	0	71.984	81.9	isoamylase 3, chloroplastic isoform X1 [Nymphaea colorata]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104185_c0_g1_i2:385-2772(+)	2.05047086842074	0.036508120858005	S_cType	ref|XP_008342522.1|	0	71.528	84.44	isoamylase 3, chloroplastic-like [Malus domestica]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104185_c0_g1_i2:385-2772(+)	2.05047086842074	0.036508120858005	S_cType	gb|KCW83085.1|	0	71.706	85.71	hypothetical protein EUGRSUZ_B00043 [Eucalyptus grandis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104185_c0_g1_i2:385-2772(+)	2.05047086842074	0.036508120858005	S_cType	ref|XP_039161439.1|	0	71.706	85.71	isoamylase 3, chloroplastic [Eucalyptus grandis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104185_c0_g1_i2:385-2772(+)	2.05047086842074	0.036508120858005	S_cType	gb|KAF5190243.1|	0	71.547	83.15	Glycogen debranching enzyme [Thalictrum thalictroides]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104185_c0_g1_i2:385-2772(+)	2.05047086842074	0.036508120858005	S_cType	ref|XP_026433125.1|	0	71.389	84.86	isoamylase 3, chloroplastic-like [Papaver somniferum]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104185_c0_g1_i2:385-2772(+)	2.05047086842074	0.036508120858005	S_cType	ref|XP_030455090.1|	0	72.022	84.76	isoamylase 3, chloroplastic [Syzygium oleosum]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR112346_c0_g1_i1:482-808(+)	6.10569968284466	0.0285588703007993	S_cType	gb|ABK22065.1|	7.75e-39	69.369	77.48	unknown [Picea sitchensis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR115523_c0_g1_i1:314-922(+)	6.52666353773788	0.0295070573699576	S_cType	gb|KAG5029018.1|	2.04e-15	33.495	43.69	hypothetical protein JHK87_012532 [Glycine soja]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR115523_c0_g1_i1:314-922(+)	6.52666353773788	0.0295070573699576	S_cType	ref|XP_014631095.1|	6.9e-15	33.981	43.69	zinc finger protein 10 [Glycine max]<>zinc finger protein 10-like [Glycine soja]<>hypothetical protein GLYMA_05G111400v4 [Glycine max]<>hypothetical protein JHK85_012974 [Glycine max]<>hypothetical protein JHK86_012640 [Glycine max]<>hypothetical protein JHK82_012621 [Glycine max]<>Putative transcriptional regulator RABBIT EARS [Glycine soja]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR115523_c0_g1_i1:314-922(+)	6.52666353773788	0.0295070573699576	S_cType	gb|RZC11979.1|	1.48e-14	33.981	43.69	Zinc finger protein 10 [Glycine soja]
