qseqid	sseqid	evalue	bitscore	length	pident	ppos	qcovs	qlen	qstart	qend	qframe	slen	sstart	send	sframe	staxid	sskingdom	sscinames	scomnames	salltitles
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104134_c0_g1_i1:490-879(+)	gb|ABK21981.1|	3.84e-42	146	157	50.318	64.33	99	130	1	129	1	156	1	156	1	3332	Eukaryota	Picea sitchensis	Sitka spruce	unknown [Picea sitchensis]<>unknown [Picea sitchensis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104134_c0_g1_i1:490-879(+)	gb|ABR17371.1|	1.91e-26	104	72	72.222	83.33	55	130	1	72	1	72	1	72	1	3332	Eukaryota	Picea sitchensis	Sitka spruce	unknown [Picea sitchensis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104134_c0_g1_i1:490-879(+)	gb|ONI32606.1|	1.49e-19	87.8	130	42.308	56.92	99	130	1	129	1	111	1	111	1	3760	Eukaryota	Prunus persica	peach	hypothetical protein PRUPE_1G375500 [Prunus persica]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104134_c0_g1_i1:490-879(+)	ref|XP_028962452.1|	4.49e-19	86.7	130	40.769	56.92	99	130	1	129	1	110	1	110	1	3750	Eukaryota	Malus domestica	apple	heavy metal-associated isoprenylated plant protein 43-like isoform X2 [Malus domestica]<>heavy metal-associated isoprenylated plant protein 43-like isoform X2 [Malus domestica]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104134_c0_g1_i1:490-879(+)	ref|XP_021726840.1|	5.84e-19	87.0	136	37.500	58.09	97	130	3	128	1	137	2	136	1	63459	Eukaryota	Chenopodium quinoa	quinoa	heavy metal-associated isoprenylated plant protein 39-like [Chenopodium quinoa]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104134_c0_g1_i1:490-879(+)	emb|CAA3032794.1|	6.79e-19	87.0	136	39.706	58.09	97	130	3	128	1	137	2	136	1	158383	Eukaryota	Olea europaea subsp. europaea	Olea europaea subsp. europaea	heavy metal-associated isoprenylated plant 3-like isoform X1 [Olea europaea subsp. europaea]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104134_c0_g1_i1:490-879(+)	ref|XP_022852056.1|	7.09e-19	87.0	136	39.706	58.09	97	130	3	128	1	137	2	136	1	158386	Eukaryota	Olea europaea subsp. europaea;Olea europaea var. sylvestris	Olea europaea subsp. europaea;Olea europaea var. sylvestris	heavy metal-associated isoprenylated plant protein 39-like [Olea europaea var. sylvestris]<>heavy metal-associated isoprenylated plant 3-like isoform X1 [Olea europaea subsp. europaea]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104134_c0_g1_i1:490-879(+)	ref|XP_026378948.1|	9.60e-19	85.9	126	41.270	60.32	97	130	3	128	1	116	2	115	1	3469	Eukaryota	Papaver somniferum	opium poppy	heavy metal-associated isoprenylated plant protein 12-like [Papaver somniferum]<>hypothetical protein C5167_004427 [Papaver somniferum]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104134_c0_g1_i1:490-879(+)	gb|KAB2628144.1|	1.20e-18	85.5	130	40.000	56.92	99	130	1	129	1	111	1	111	1	2448454	Eukaryota	Pyrus ussuriensis x Pyrus communis	Pyrus ussuriensis x Pyrus communis	inositol-pentakisphosphate 2-kinase-like [Pyrus ussuriensis x Pyrus communis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104134_c0_g1_i1:490-879(+)	ref|XP_026393585.1|	2.33e-18	85.1	128	42.969	59.38	98	130	3	129	1	115	5	115	1	3469	Eukaryota	Papaver somniferum	opium poppy	heavy metal-associated isoprenylated plant protein 2-like [Papaver somniferum]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104185_c0_g1_i2:385-2772(+)	ref|XP_031498374.1|	0.0	1145	717	74.895	85.22	90	796	78	794	1	782	70	781	1	210225	Eukaryota	Nymphaea colorata	Nymphaea colorata	isoamylase 3, chloroplastic isoform X2 [Nymphaea colorata]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104185_c0_g1_i2:385-2772(+)	gb|OUZ99592.1|	0.0	1133	725	72.552	85.93	91	796	71	795	1	779	61	779	1	56857	Eukaryota	Macleaya cordata	Macleaya cordata	Glycoside hydrolase [Macleaya cordata]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104185_c0_g1_i2:385-2772(+)	ref|XP_006827924.2|	0.0	1132	724	72.514	85.08	91	796	72	794	1	781	56	778	1	13333	Eukaryota	Amborella trichopoda	Amborella trichopoda	isoamylase 3, chloroplastic isoform X1 [Amborella trichopoda]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104185_c0_g1_i2:385-2772(+)	ref|XP_031498373.1|	0.0	1130	746	71.984	81.90	90	796	78	794	1	811	70	810	1	210225	Eukaryota	Nymphaea colorata	Nymphaea colorata	isoamylase 3, chloroplastic isoform X1 [Nymphaea colorata]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104185_c0_g1_i2:385-2772(+)	ref|XP_008342522.1|	0.0	1122	720	71.528	84.44	90	796	75	794	1	776	60	776	1	3750	Eukaryota	Malus domestica	apple	isoamylase 3, chloroplastic-like [Malus domestica]
