cds	logFC	adj.P.Val	focus_term	sseqid	evalue	pident	ppos	salltitles
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR100758_c1_g2_i1:2-403(-)	10.9619170528112	1.79003692098549e-05	R_cType	NA	NA	NA	NA	NA
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR103662_c1_g1_i1:305-1450(+)	3.10247002812937	0.000632877225464691	R_cType	gb|ABK27098.1|	0	99.71	99.71	unknown [Picea sitchensis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR103662_c1_g1_i1:305-1450(+)	3.10247002812937	0.000632877225464691	R_cType	gb|MBC9850145.1|	6.55e-172	77.663	87.63	hypothetical protein [Adiantum capillus-veneris]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR103662_c1_g1_i1:305-1450(+)	3.10247002812937	0.000632877225464691	R_cType	gb|KAF0912505.1|	4.96e-162	73.333	85.96	hypothetical protein E2562_014092 [Oryza meyeriana var. granulata]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR103662_c1_g1_i1:305-1450(+)	3.10247002812937	0.000632877225464691	R_cType	gb|KAF0912506.1|	8.89e-162	73.333	85.96	hypothetical protein E2562_014092 [Oryza meyeriana var. granulata]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR103662_c1_g1_i1:305-1450(+)	3.10247002812937	0.000632877225464691	R_cType	gb|PUZ36105.1|	1.9e-160	72.632	86.32	hypothetical protein GQ55_9G012500 [Panicum hallii var. hallii]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR103662_c1_g1_i1:305-1450(+)	3.10247002812937	0.000632877225464691	R_cType	gb|RLN16202.1|	2.15e-160	72.982	86.32	pirin-like protein isoform X3 [Panicum miliaceum]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR103662_c1_g1_i1:305-1450(+)	3.10247002812937	0.000632877225464691	R_cType	gb|PUZ36106.1|	8.17e-160	72.632	86.32	hypothetical protein GQ55_9G012500 [Panicum hallii var. hallii]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR103662_c1_g1_i1:305-1450(+)	3.10247002812937	0.000632877225464691	R_cType	ref|XP_025794536.1|	1e-159	72.632	85.96	pirin-like protein isoform X4 [Panicum hallii]<>hypothetical protein PAHAL_9G013000 [Panicum hallii]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR103662_c1_g1_i1:305-1450(+)	3.10247002812937	0.000632877225464691	R_cType	ref|XP_012704142.1|	2.08e-159	72.281	85.61	pirin-like protein isoform X4 [Setaria italica]<>pirin-like protein isoform X4 [Setaria viridis]<>hypothetical protein SETIT_9G013900v2 [Setaria italica]<>hypothetical protein SEVIR_9G014000v2 [Setaria viridis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR103662_c1_g1_i1:305-1450(+)	3.10247002812937	0.000632877225464691	R_cType	ref|XP_025794535.1|	4.21e-159	72.632	85.96	pirin-like protein isoform X3 [Panicum hallii]<>hypothetical protein PAHAL_9G013000 [Panicum hallii]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10548_c4_g12_i1:3-299(-)	4.02188152613696	0.0306540960138372	R_cType	ref|XP_027344311.1|	4.54e-12	51.515	72.73	mitogen-activated protein kinase kinase kinase 18-like [Abrus precatorius]
