qseqid	sseqid	evalue	bitscore	length	pident	ppos	qcovs	qlen	qstart	qend	qframe	slen	sstart	send	sframe	staxid	sskingdom	sscinames	scomnames	salltitles
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR100801_c0_g1_i1:422-1495(-)	AT5G16570.1	0.0	618	355	81.127	90.99	99	358	3	357	1	356	2	356	1	N/A	N/A	N/A	N/A	AT5G16570.1 | Symbols: GLN1;4 | glutamine synthetase 1;4 | chr5:5421898-5424523 REVERSE LENGTH=356
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR100801_c0_g1_i1:422-1495(-)	AT1G66200.1	0.0	617	355	81.408	90.42	99	358	3	357	1	356	2	356	1	N/A	N/A	N/A	N/A	AT1G66200.1 | Symbols: ATGSR2, GSR2, GLN1;2 | glutamine synthase clone F11 | chr1:24655520-24657520 REVERSE LENGTH=356
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR100801_c0_g1_i1:422-1495(-)	AT5G37600.1	0.0	616	355	80.282	91.27	99	358	3	357	1	356	2	356	1	N/A	N/A	N/A	N/A	AT5G37600.1 | Symbols: ATGSR1, GLN1;1, GSR 1, ATGLN1;1 | glutamine synthase clone R1 | chr5:14933574-14935656 REVERSE LENGTH=356
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR100801_c0_g1_i1:422-1495(-)	AT1G66200.3	0.0	610	364	79.396	88.19	99	358	3	357	1	365	2	365	1	N/A	N/A	N/A	N/A	AT1G66200.3 | Symbols: GSR2, GLN1;2 | glutamine synthase clone F11 | chr1:24655520-24657520 REVERSE LENGTH=365
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR100801_c0_g1_i1:422-1495(-)	AT5G35630.3	0.0	600	350	78.571	88.00	98	358	8	357	1	430	65	414	1	N/A	N/A	N/A	N/A	AT5G35630.3 | Symbols: GS2, GLN2, ATGSL1 | glutamine synthetase 2 | chr5:13831220-13833239 FORWARD LENGTH=430
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR100801_c0_g1_i1:422-1495(-)	AT5G35630.2	0.0	600	350	78.571	88.00	98	358	8	357	1	430	65	414	1	N/A	N/A	N/A	N/A	AT5G35630.2 | Symbols: GS2, GLN2, ATGSL1 | glutamine synthetase 2 | chr5:13831220-13833239 FORWARD LENGTH=430
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR100801_c0_g1_i1:422-1495(-)	AT5G35630.1	0.0	600	350	78.571	88.00	98	358	8	357	1	430	65	414	1	N/A	N/A	N/A	N/A	AT5G35630.1 | Symbols: GS2, GLN2, ATGSL1 | glutamine synthetase 2 | chr5:13831220-13833239 FORWARD LENGTH=430
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR100801_c0_g1_i1:422-1495(-)	AT3G17820.1	0.0	595	352	78.125	89.77	98	358	3	354	1	354	2	353	1	N/A	N/A	N/A	N/A	AT3G17820.1 | Symbols: ATGSKB6, GLN1.3, GLN1;3 | glutamine synthetase 1.3 | chr3:6097503-6099408 FORWARD LENGTH=354
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR100801_c0_g1_i1:422-1495(-)	AT1G48470.1	0.0	565	338	76.627	89.64	94	358	17	354	1	353	16	353	1	N/A	N/A	N/A	N/A	AT1G48470.1 | Symbols: GLN1;5 | glutamine synthetase 1;5 | chr1:17913784-17915926 FORWARD LENGTH=353
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR100801_c0_g1_i1:422-1495(-)	AT1G66200.2	8.96e-152	428	261	77.011	86.97	73	358	3	263	1	272	2	260	1	N/A	N/A	N/A	N/A	AT1G66200.2 | Symbols: ATGSR2, GSR2, GLN1;2 | glutamine synthase clone F11 | chr1:24655552-24657520 REVERSE LENGTH=272
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR103662_c1_g1_i1:305-1450(+)	AT2G43120.1	1.63e-132	382	285	65.614	76.84	73	382	93	372	1	321	37	320	1	N/A	N/A	N/A	N/A	AT2G43120.1 | Symbols:  | RmlC-like cupins superfamily protein | chr2:17927339-17928871 FORWARD LENGTH=321
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR103662_c1_g1_i1:305-1450(+)	AT1G50590.1	1.91e-122	356	297	59.259	74.41	75	382	85	372	1	310	5	301	1	N/A	N/A	N/A	N/A	AT1G50590.1 | Symbols:  | RmlC-like cupins superfamily protein | chr1:18732378-18734053 REVERSE LENGTH=310
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR103662_c1_g1_i1:305-1450(+)	AT3G59220.1	1.52e-121	353	278	60.432	76.62	72	382	92	367	1	287	9	285	1	N/A	N/A	N/A	N/A	AT3G59220.1 | Symbols: PRN, PRN1, ATPIRIN1 | pirin | chr3:21894205-21895501 FORWARD LENGTH=287
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR103662_c1_g1_i1:305-1450(+)	AT3G59260.1	9.92e-102	301	252	56.746	71.03	65	382	124	373	1	271	21	271	1	N/A	N/A	N/A	N/A	AT3G59260.1 | Symbols:  | pirin, putative | chr3:21903839-21905188 FORWARD LENGTH=271
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR103721_c0_g1_i1:129-1499(+)	AT3G03480.1	7.78e-99	303	451	40.798	57.87	95	457	18	453	1	454	16	452	1	N/A	N/A	N/A	N/A	AT3G03480.1 | Symbols: CHAT | acetyl CoA:(Z)-3-hexen-1-ol acetyltransferase | chr3:828400-829863 REVERSE LENGTH=454
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR103721_c0_g1_i1:129-1499(+)	AT5G17540.1	3.10e-98	302	460	40.435	56.96	96	457	14	451	1	461	2	441	1	N/A	N/A	N/A	N/A	AT5G17540.1 | Symbols:  | HXXXD-type acyl-transferase family protein | chr5:5782061-5783682 REVERSE LENGTH=461
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR103721_c0_g1_i1:129-1499(+)	AT5G41040.2	1.37e-79	253	437	34.554	56.29	94	457	18	445	1	441	14	437	1	N/A	N/A	N/A	N/A	AT5G41040.2 | Symbols:  | HXXXD-type acyl-transferase family protein | chr5:16431582-16433086 FORWARD LENGTH=441
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR103721_c0_g1_i1:129-1499(+)	AT5G41040.1	2.59e-79	253	436	34.633	56.42	93	457	18	444	1	457	30	452	1	N/A	N/A	N/A	N/A	AT5G41040.1 | Symbols:  | HXXXD-type acyl-transferase family protein | chr5:16431448-16433086 FORWARD LENGTH=457
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR103721_c0_g1_i1:129-1499(+)	AT5G63560.1	3.78e-77	246	431	35.731	55.92	93	457	18	443	1	426	6	421	1	N/A	N/A	N/A	N/A	AT5G63560.1 | Symbols:  | HXXXD-type acyl-transferase family protein | chr5:25449517-25451234 FORWARD LENGTH=426
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR103721_c0_g1_i1:129-1499(+)	AT1G27620.1	3.92e-76	244	429	35.431	52.45	91	457	26	443	1	442	14	422	1	N/A	N/A	N/A	N/A	AT1G27620.1 | Symbols:  | HXXXD-type acyl-transferase family protein | chr1:9608444-9610432 FORWARD LENGTH=442
