qseqid	sseqid	evalue	bitscore	length	pident	ppos	qcovs	qlen	qstart	qend	qframe	slen	sstart	send	sframe	staxid	sskingdom	sscinames	scomnames	salltitles
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR100801_c0_g1_i1:422-1495(-)	gi|116779848|gb|ABK21449.1|	0.0	739	357	100.000	100.00	99	358	1	357	1	357	1	357	1	3332	Eukaryota	Picea sitchensis	Sitka spruce	unknown [Picea sitchensis]<>unknown [Picea sitchensis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR100801_c0_g1_i1:422-1495(-)	gi|1707963|sp|P52783.1|GLNA_PINSY	0.0	702	357	94.118	96.92	99	358	1	357	1	357	1	357	1	3349	Eukaryota	Pinus sylvestris	Scots pine	RecName: Full=Glutamine synthetase cytosolic isozyme; AltName: Full=GS1; AltName: Full=Glutamate--ammonia ligase<>glutamate--ammonia ligase [Pinus sylvestris]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR100801_c0_g1_i1:422-1495(-)	gi|396547|emb|CAA52448.1|	0.0	699	357	94.118	96.64	99	358	1	357	1	357	1	357	1	3349	Eukaryota	Pinus sylvestris	Scots pine	glutamate--ammonia ligase [Pinus sylvestris]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR100801_c0_g1_i1:422-1495(-)	gi|1153959380|gb|AQX42910.1|	0.0	697	357	93.277	96.64	99	358	1	357	1	357	1	357	1	71647	Eukaryota	Pinus pinaster	Pinus pinaster	cytosolic glutamine synthetase GS1a [Pinus pinaster]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR100801_c0_g1_i1:422-1495(-)	gi|1402101069|dbj|BBA84049.1|	0.0	677	358	89.665	96.09	99	358	1	357	1	358	1	358	1	3369	Eukaryota	Cryptomeria japonica	Japanese cedar	glutamine synthetase [Cryptomeria japonica]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR100801_c0_g1_i1:422-1495(-)	gi|525507210|ref|NP_001267644.1|	0.0	640	355	84.789	92.68	99	358	3	357	1	356	2	356	1	3659	Eukaryota	Cucumis sativus	cucumber	glutamine synthetase cytosolic isozyme-like [Cucumis sativus]<>glutamine synthetase [Cucumis sativus]<>hypothetical protein Csa_3G304140 [Cucumis sativus]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR100801_c0_g1_i1:422-1495(-)	gi|1281026900|ref|XP_022997837.1|	0.0	638	355	84.507	92.68	99	358	3	357	1	356	2	356	1	3661	Eukaryota	Cucurbita maxima	winter squash	glutamine synthetase cytosolic isozyme isoform X1 [Cucurbita maxima]<>glutamine synthetase cytosolic isozyme isoform X2 [Cucurbita maxima]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR100801_c0_g1_i1:422-1495(-)	gi|1229780332|ref|XP_022143400.1|	0.0	638	355	85.070	91.83	99	358	3	357	1	356	2	356	1	3673	Eukaryota	Momordica charantia	bitter melon	glutamine synthetase nodule isozyme [Momordica charantia]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR100801_c0_g1_i1:422-1495(-)	gi|586647282|ref|XP_006828441.1|	0.0	637	341	87.097	94.72	95	358	16	356	1	356	15	355	1	13333	Eukaryota	Amborella trichopoda	Amborella trichopoda	glutamine synthetase cytosolic isozyme [Amborella trichopoda]<>hypothetical protein AMTR_s00060p00116070 [Amborella trichopoda]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR100801_c0_g1_i1:422-1495(-)	gi|720049145|ref|XP_010271347.1|	0.0	637	355	83.662	92.39	99	358	3	357	1	356	2	356	1	4432	Eukaryota	Nelumbo nucifera	sacred lotus	PREDICTED: glutamine synthetase cytosolic isozyme 1 [Nelumbo nucifera]
