cds	logFC	adj.P.Val	Up_Regulation	TAIR_ID	evalue	pident	ppos	salltitles
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR125370_c0_g1_i1:465-1295(-)	3.78050346516755	0.00390028291007364	Both	AT5G03170	4.2e-41	44.253	67.24	| Symbols: FLA11, ATFLA11 | FASCICLIN-like arabinogalactan-protein 11 | chr5:752898-753638 REVERSE LENGTH=246
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR198114_c0_g1_i1:306-1367(-)	3.1660983988726	0.0363371668669196	Both	AT1G05850	1.38e-117	54.89	67.51	| Symbols: POM1, ERH2, ELP1, CTL1, ELP, HOT2, ATCTL1 | Chitinase family protein | chr1:1766833-1768117 REVERSE LENGTH=321
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR199773_c0_g2_i1:464-1813(-)	3.8374320671525	0.0353432183964312	Both	AT1G63910	1.47e-76	88.983	95.76	| Symbols: AtMYB103, MYB103 | myb domain protein 103 | chr1:23719968-23721625 REVERSE LENGTH=370
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR204749_c0_g1_i1:244-1026(+)	2.65786723453179	0.0111601229649901	Both	AT5G03170	3.37e-57	54.494	72.47	| Symbols: FLA11, ATFLA11 | FASCICLIN-like arabinogalactan-protein 11 | chr5:752898-753638 REVERSE LENGTH=246
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR92437_c1_g1_i1:313-1179(+)	4.63066262470748	0.00669323053022285	Both	AT1G09610	3.18e-80	50.84	67.65	| Symbols:  | Protein of unknown function (DUF579) | chr1:3111789-3112637 FORWARD LENGTH=282
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR125370_c0_g1_i1:465-1295(-)	6.71405247460305	1.86073252905859e-05	Both	AT5G03170	4.2e-41	44.253	67.24	| Symbols: FLA11, ATFLA11 | FASCICLIN-like arabinogalactan-protein 11 | chr5:752898-753638 REVERSE LENGTH=246
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR142071_c0_g1_i1:445-1746(+)	2.59183689288967	0.00129956938386026	R_cType	AT5G48930	0	70.439	82.68	| Symbols: HCT | hydroxycinnamoyl-CoA shikimate/quinate hydroxycinnamoyl transferase | chr5:19836654-19838092 REVERSE LENGTH=433
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR149466_c0_g1_i1:136-1860(+)	4.98476128860609	0.0346379019202673	R_cType	AT5G60020	0	66.783	80.35	| Symbols: LAC17, ATLAC17 | laccase 17 | chr5:24168072-24170223 FORWARD LENGTH=577
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR151855_c0_g1_i1:547-1521(+)	3.24527191938284	0.000245503509616569	R_cType	AT1G15950	9.79e-173	74.603	86.67	| Symbols: CCR1, IRX4, ATCCR1 | cinnamoyl coa reductase 1 | chr1:5478855-5481915 FORWARD LENGTH=344
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR15451_c0_g2_i5:157-2052(+)	4.69182263294447	0.0242310557744006	R_cType	AT1G79620	5.38e-60	37.34	52.17	| Symbols:  | Leucine-rich repeat protein kinase family protein | chr1:29957633-29962174 REVERSE LENGTH=971
