qseqid	sseqid	evalue	bitscore	length	pident	ppos	qcovs	qlen	qstart	qend	qframe	slen	sstart	send	sframe	staxid	sskingdom	sscinames	scomnames	salltitles
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104185_c0_g1_i2:385-2772(+)	AT4G09020.1	0.0	1085	713	70.547	84.15	90	796	82	794	1	764	57	764	1	N/A	N/A	N/A	N/A	| Symbols: ATISA3, ISA3 | isoamylase 3 | chr4:5784099-5788839 FORWARD LENGTH=764
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR115523_c0_g1_i1:314-922(+)	AT2G37740.1	3.55e-15	72.0	54	62.963	72.22	26	203	4	55	1	304	30	83	1	N/A	N/A	N/A	N/A	| Symbols: ATZFP10, ZFP10 | zinc-finger protein 10 | chr2:15827706-15828620 REVERSE LENGTH=304
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR116094_c0_g1_i1:2-481(+)	AT3G62760.1	2.61e-55	173	158	51.266	71.52	98	160	1	157	1	219	21	178	1	N/A	N/A	N/A	N/A	| Symbols: ATGSTF13 | Glutathione S-transferase family protein | chr3:23217425-23218246 REVERSE LENGTH=219
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR12306_c0_g1_i1:246-2477(+)	AT5G18590.1	3.39e-124	387	436	48.624	62.84	77	744	24	445	1	708	61	477	1	N/A	N/A	N/A	N/A	| Symbols:  | Galactose oxidase/kelch repeat superfamily protein | chr5:6178516-6182186 REVERSE LENGTH=708
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR12306_c0_g1_i1:246-2477(+)	AT5G18590.1	3.70e-42	163	151	53.642	74.83	77	744	589	739	1	708	554	704	1	N/A	N/A	N/A	N/A	| Symbols:  | Galactose oxidase/kelch repeat superfamily protein | chr5:6178516-6182186 REVERSE LENGTH=708
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR12309_c1_g10_i2:388-867(+)	AT3G07510.1	7.42e-52	163	132	71.212	85.61	83	160	27	158	1	189	26	157	1	N/A	N/A	N/A	N/A	| Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G01580.1); Has 133 Blast hits to 133 proteins in 14 species: Archae - 0; Bacteria - 4; Metazoa - 0; Fungi - 0; Plants - 129; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr3:2393895-2394464 REVERSE LENGTH=189
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR12375_c1_g1_i1:459-3251(-)	AT3G22400.1	0.0	812	867	47.636	65.74	92	931	79	930	1	886	28	886	1	N/A	N/A	N/A	N/A	| Symbols: LOX5 | PLAT/LH2 domain-containing lipoxygenase family protein | chr3:7927011-7931167 FORWARD LENGTH=886
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR125370_c0_g1_i1:465-1295(-)	AT5G03170.1	4.20e-41	142	174	44.253	67.24	60	277	50	215	1	246	26	195	1	N/A	N/A	N/A	N/A	| Symbols: FLA11, ATFLA11 | FASCICLIN-like arabinogalactan-protein 11 | chr5:752898-753638 REVERSE LENGTH=246
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR126243_c0_g1_i1:2-310(+)	AT3G14067.1	6.35e-37	131	97	61.856	74.23	94	103	4	100	1	777	98	193	1	N/A	N/A	N/A	N/A	| Symbols:  | Subtilase family protein | chr3:4658421-4660754 REVERSE LENGTH=777
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR132530_c0_g1_i1:210-1289(-)	AT4G13660.1	1.37e-141	404	311	60.772	78.78	86	360	49	359	1	317	9	317	1	N/A	N/A	N/A	N/A	| Symbols: ATPRR2, PRR2 | pinoresinol reductase 2 | chr4:7946283-7948252 FORWARD LENGTH=317
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR133872_c0_g1_i1:593-916(+)	AT1G28110.1	2.33e-40	138	114	61.404	69.30	100	108	1	108	1	461	1	114	1	N/A	N/A	N/A	N/A	| Symbols: SCPL45 | serine carboxypeptidase-like 45 | chr1:9804153-9806832 REVERSE LENGTH=461
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR136793_c0_g1_i1:2-964(+)	AT1G17620.1	1.97e-23	97.1	236	31.780	51.27	70	321	70	293	1	264	1	231	1	N/A	N/A	N/A	N/A	| Symbols:  | Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family | chr1:6062313-6063107 FORWARD LENGTH=264
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR137062_c1_g1_i1:124-1611(+)	AT3G52500.1	4.62e-88	277	456	37.719	54.17	85	496	69	491	1	469	23	467	1	N/A	N/A	N/A	N/A	| Symbols:  | Eukaryotic aspartyl protease family protein | chr3:19465644-19467053 REVERSE LENGTH=469
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR141854_c1_g1_i1:2-364(+)	AT5G43830.1	6.55e-61	186	121	66.116	83.47	100	121	1	121	1	251	84	204	1	N/A	N/A	N/A	N/A	| Symbols:  | Aluminium induced protein with YGL and LRDR motifs | chr5:17622593-17624239 REVERSE LENGTH=251
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR141978_c0_g1_i1:481-1182(-)	AT1G44760.1	4.20e-44	147	179	45.810	62.57	76	234	57	233	1	213	61	213	1	N/A	N/A	N/A	N/A	| Symbols:  | Adenine nucleotide alpha hydrolases-like superfamily protein | chr1:16896894-16898427 REVERSE LENGTH=213
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR144910_c0_g1_i1:220-1251(-)	AT5G08640.1	3.12e-127	367	340	52.353	69.41	98	344	4	341	1	336	5	333	1	N/A	N/A	N/A	N/A	| Symbols: FLS, ATFLS1, FLS1 | flavonol synthase 1 | chr5:2804009-2805175 FORWARD LENGTH=336
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR145625_c0_g1_i1:882-1598(-)	AT5G53970.1	2.67e-67	213	191	51.309	72.25	78	239	46	232	1	414	13	203	1	N/A	N/A	N/A	N/A	| Symbols:  | Tyrosine transaminase family protein | chr5:21910676-21912594 FORWARD LENGTH=414
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR145625_c0_g1_i1:260-835(-)	AT5G53970.1	2.36e-67	211	184	49.457	75.54	96	192	1	184	1	414	226	409	1	N/A	N/A	N/A	N/A	| Symbols:  | Tyrosine transaminase family protein | chr5:21910676-21912594 FORWARD LENGTH=414
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR148505_c0_g1_i1:224-2116(-)	AT1G70370.1	0.0	531	631	45.008	61.49	98	631	10	627	1	626	3	623	1	N/A	N/A	N/A	N/A	| Symbols: PG2 | polygalacturonase 2 | chr1:26513003-26514998 REVERSE LENGTH=626
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR148950_c0_g1_i1:963-2156(-)	AT5G65380.1	6.26e-148	428	391	54.731	74.17	98	398	1	390	1	486	93	483	1	N/A	N/A	N/A	N/A	| Symbols:  | MATE efflux family protein | chr5:26123241-26126352 REVERSE LENGTH=486
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR149017_c0_g2_i4:3-332(-)	AT1G65730.1	2.62e-14	67.0	68	45.588	69.12	60	110	45	110	1	688	2	68	1	N/A	N/A	N/A	N/A	| Symbols: YSL7 | YELLOW STRIPE like 7 | chr1:24442639-24446122 FORWARD LENGTH=688
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR151105_c1_g1_i1:84-956(-)	AT4G37800.1	5.54e-139	393	286	63.636	77.27	98	291	5	290	1	293	9	293	1	N/A	N/A	N/A	N/A	| Symbols: XTH7 | xyloglucan endotransglucosylase/hydrolase 7 | chr4:17775703-17777372 REVERSE LENGTH=293
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR152832_c0_g1_i1:577-1665(-)	AT5G15720.1	1.52e-83	258	341	41.642	58.94	93	363	24	361	1	364	28	364	1	N/A	N/A	N/A	N/A	| Symbols: GLIP7 | GDSL-motif lipase 7 | chr5:5124684-5126155 REVERSE LENGTH=364
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR153483_c0_g3_i2:3-1085(+)	AT3G50170.1	7.38e-44	158	380	31.579	48.95	99	361	5	361	1	541	100	458	1	N/A	N/A	N/A	N/A	| Symbols:  | Plant protein of unknown function (DUF247) | chr3:18601857-18603738 REVERSE LENGTH=541
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR155120_c0_g1_i4:1-1068(-)	AT5G15780.1	5.39e-23	99.0	133	47.368	63.91	36	356	35	163	1	401	38	169	1	N/A	N/A	N/A	N/A	| Symbols:  | Pollen Ole e 1 allergen and extensin family protein | chr5:5144898-5146297 REVERSE LENGTH=401
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR155961_c0_g1_i1:3-479(-)	AT4G28100.1	6.05e-68	208	159	62.893	76.73	100	159	1	159	1	304	111	269	1	N/A	N/A	N/A	N/A	| Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: anchored to plasma membrane, anchored to membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G18050.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). | chr4:13965300-13966697 REVERSE LENGTH=304
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR156725_c0_g1_i1:479-1438(+)	AT3G19430.1	3.69e-108	325	291	54.296	69.76	89	320	35	319	1	559	272	559	1	N/A	N/A	N/A	N/A	| Symbols:  | late embryogenesis abundant protein-related / LEA protein-related | chr3:6736382-6738330 REVERSE LENGTH=559
