cds	logFC	adj.P.Val	focus_term	sseqid	evalue	pident	ppos	salltitles
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10113_c1_g1_i1:544-1563(-)	-2.01070048618041	0.00619551731882047	R_cType	NA	NA	NA	NA	NA
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR103721_c0_g1_i1:129-1499(+)	-3.33646415088808	0.00035560224010242	R_cType	NA	NA	NA	NA	NA
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104164_c0_g1_i1:1-531(+)	-2.28761993305527	0.0227812078921031	R_cType	NA	NA	NA	NA	NA
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR105563_c0_g2_i1:1-402(-)	-2.04356221196244	0.0477652114223398	R_cType	NA	NA	NA	NA	NA
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10634_c3_g2_i4:2-1969(+)	-7.30849476341807	0.0008111662922092	R_cType	NA	NA	NA	NA	NA
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10638_c0_g12_i1:3-710(-)	-3.10392500007414	0.00923638830219347	R_cType	NA	NA	NA	NA	NA
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10638_c0_g12_i2:3-410(-)	-3.30597422358825	0.00549818739389461	R_cType	NA	NA	NA	NA	NA
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10638_c0_g12_i4:21-377(-)	-3.42712338691336	0.000953422591365167	R_cType	NA	NA	NA	NA	NA
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10638_c0_g9_i1:3-311(-)	-2.91596209095873	0.00319034166642603	R_cType	NA	NA	NA	NA	NA
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR1063_c9_g5_i1:1-465(+)	-3.12784923376062	0.00460009135282508	R_cType	NA	NA	NA	NA	NA
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10695_c0_g1_i1:291-1490(-)	-2.40624222577799	0.0143404223560768	R_cType	NA	NA	NA	NA	NA
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR108762_c0_g1_i1:3-440(+)	-2.25382030262893	0.0188771492115193	R_cType	NA	NA	NA	NA	NA
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR111046_c0_g1_i1:3-530(-)	-4.02592237474163	0.00921687431521822	R_cType	NA	NA	NA	NA	NA
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR111701_c0_g2_i1:3-323(-)	-2.24403973729678	0.0148002635212002	R_cType	NA	NA	NA	NA	NA
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR11231_c0_g1_i1:245-1354(-)	-2.32825383518625	0.0158337146699624	R_cType	NA	NA	NA	NA	NA
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR113064_c0_g1_i1:314-736(+)	-2.73137952674054	0.0280260713653334	R_cType	NA	NA	NA	NA	NA
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR113561_c0_g1_i1:162-809(+)	-2.61930876465204	0.0472426944741579	R_cType	NA	NA	NA	NA	NA
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR115455_c0_g1_i1:101-691(+)	-3.64468557834512	0.000360205807285495	R_cType	NA	NA	NA	NA	NA
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR116094_c0_g1_i1:2-481(+)	-4.97083541022365	0.0188721724307393	R_cType	gb|ADE76351.1|	3.99e-111	99.375	100	unknown [Picea sitchensis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR116094_c0_g1_i1:2-481(+)	-4.97083541022365	0.0188721724307393	R_cType	gb|ADE76600.1|	1.11e-109	98.125	98.75	unknown [Picea sitchensis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR116094_c0_g1_i1:2-481(+)	-4.97083541022365	0.0188721724307393	R_cType	gb|ADM74397.1|	4.18e-104	99.338	100	glutathione S-transferase-like protein, partial [Picea sitchensis]<>glutathione S-transferase-like protein, partial [Picea sitchensis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR116094_c0_g1_i1:2-481(+)	-4.97083541022365	0.0188721724307393	R_cType	gb|ADM74367.1|	1.12e-103	98.675	99.34	glutathione S-transferase-like protein, partial [Picea sitchensis]<>glutathione S-transferase-like protein, partial [Picea sitchensis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR116094_c0_g1_i1:2-481(+)	-4.97083541022365	0.0188721724307393	R_cType	gb|ADM74359.1|	2.03e-103	98.675	99.34	glutathione S-transferase-like protein, partial [Picea sitchensis]<>glutathione S-transferase-like protein, partial [Picea sitchensis]<>glutathione S-transferase-like protein, partial [Picea sitchensis]<>glutathione S-transferase-like protein, partial [Picea sitchensis]<>glutathione S-transferase-like protein, partial [Picea sitchensis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR116094_c0_g1_i1:2-481(+)	-4.97083541022365	0.0188721724307393	R_cType	gb|ADM74357.1|	7.48e-103	98.013	98.68	glutathione S-transferase-like protein, partial [Picea sitchensis]<>glutathione S-transferase-like protein, partial [Picea sitchensis]<>glutathione S-transferase-like protein, partial [Picea sitchensis]<>glutathione S-transferase-like protein, partial [Picea sitchensis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR116094_c0_g1_i1:2-481(+)	-4.97083541022365	0.0188721724307393	R_cType	gb|ADM74365.1|	4.99e-102	97.351	98.01	glutathione S-transferase-like protein, partial [Picea sitchensis]<>glutathione S-transferase-like protein, partial [Picea sitchensis]<>glutathione S-transferase-like protein, partial [Picea sitchensis]<>glutathione S-transferase-like protein, partial [Picea sitchensis]<>glutathione S-transferase-like protein, partial [Picea sitchensis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR116094_c0_g1_i1:2-481(+)	-4.97083541022365	0.0188721724307393	R_cType	gb|ADM74381.1|	1.2e-101	96.689	98.01	glutathione S-transferase-like protein, partial [Picea sitchensis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR116094_c0_g1_i1:2-481(+)	-4.97083541022365	0.0188721724307393	R_cType	gb|AGC13154.1|	2.71e-92	82.5	91.88	phi class glutathione S-transferase [Pinus tabuliformis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR116094_c0_g1_i1:2-481(+)	-4.97083541022365	0.0188721724307393	R_cType	gb|ADP95100.1|	1.48e-89	80	89.38	glutathione S-transferase-like protein, partial [Picea sitchensis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR11670_c3_g23_i1:3-347(+)	-2.39061941307426	0.0308021657181885	R_cType	NA	NA	NA	NA	NA
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR117706_c0_g1_i1:3-371(+)	-4.33854182111972	0.00406156784899221	R_cType	NA	NA	NA	NA	NA
